barrier.global_time = 1056711300000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
barrier.global_time_begin = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
barrier.global_time_end = 1056711300000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
branch_predictor.num-correct = 159748720, 958413, 1907304, 952076, 950040, 956747, 953091, 953238, 955693, 955731, 952698, 950459, 948955, 953271, 945094, 952232
branch_predictor.num-incorrect = 14859466, 69252, 138939, 69159, 68874, 70059, 69959, 69571, 69579, 69345, 69938, 70044, 69138, 69500, 70541, 70556
core.instructions = 1282531541, 16352908, 32548227, 16226929, 16193851, 16330720, 16268986, 16251863, 16310734, 16308728, 16262341, 16217040, 16185165, 16254312, 16133144, 16254417
core.spin_elapsed_time = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
core.spin_instructions = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
core.spin_loops = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
corefreq = 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0
directory.entries-allocated = 65536, 65536, 65536, 65536, 65536, 65536, 65536, 65536, 65536, 65536, 65536, 65536, 65536, 65536, 65536, 65536
directory.evict-E = 1, 15, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
directory.evict-M = 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
directory.evict-O = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
directory.evict-S = 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
directory.forward = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
directory.forward-failed = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
dram-queue.num-requests = 1391034, 0, 0, 0, 1387237, 0, 0, 0, 1388641, 0, 0, 0, 1390979, 0, 0, 0
dram-queue.num-requests-analytical = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
dram-queue.total-queue-delay = 746774813905, 0, 0, 0, 650357638918, 0, 0, 0, 652838967623, 0, 0, 0, 656345670806, 0, 0, 0
dram-queue.total-time-used = 11725409511384, 0, 0, 0, 11693403550412, 0, 0, 0, 11705238253916, 0, 0, 0, 11724945901204, 0, 0, 0
dram.reads = 902446, 0, 0, 0, 899911, 0, 0, 0, 901951, 0, 0, 0, 902524, 0, 0, 0
dram.total-access-latency = 75068714325289, 0, 0, 0, 74769426189330, 0, 0, 0, 74846922221539, 0, 0, 0, 74975346572010, 0, 0, 0
dram.total-queueing-delay = 746774813905, 0, 0, 0, 650357638918, 0, 0, 0, 652838967623, 0, 0, 0, 656345670806, 0, 0, 0
dram.writes = 488588, 0, 0, 0, 487326, 0, 0, 0, 486690, 0, 0, 0, 488455, 0, 0, 0
dtlb.access = 531205006, 5636259, 11219031, 5594195, 5582731, 5629421, 5608429, 5602084, 5622727, 5620072, 5604075, 5591936, 5580740, 5602727, 5562728, 5603231
dtlb.miss = 14004004, 373947, 738002, 366456, 366672, 372361, 365906, 361489, 372074, 370017, 372210, 363226, 359318, 361825, 357715, 370628
dtlb_cache.access-mru-0 = 470319104, 4385254, 8593461, 4321880, 4340528, 4364791, 4382631, 4383656, 4370403, 4369347, 4340371, 4377598, 4366555, 4381901, 4351930, 4358238
dtlb_cache.access-mru-1 = 34505336, 577527, 1291918, 610148, 579578, 591716, 561383, 559932, 585066, 583333, 597463, 555521, 559087, 562821, 559141, 581548
dtlb_cache.access-mru-2 = 8284910, 196642, 392242, 194529, 194322, 197273, 197451, 196761, 193528, 195315, 192421, 194878, 196219, 194993, 194062, 191729
dtlb_cache.access-mru-3 = 4091652, 102889, 203408, 101182, 101631, 103280, 101058, 100246, 101656, 102060, 101610, 100713, 99561, 101187, 99880, 101088
fastforward_performance_model.fastforwarded_time = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiBase = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiBranchPredictor = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCachecache-remote = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCachedram = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCachedram-cache = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCachedram-local = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCachedram-remote = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCacheL1 = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCacheL1_S = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCacheL1I = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCacheL2 = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCacheL2_S = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCacheL3 = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCacheL3_S = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCacheL4 = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCacheL4_S = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCachemiss = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCachenuca-cache = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCachenuca-local = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCachenuca-remote = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCachepredicate-false = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCacheprefetch-no-mapping = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCacheunknown = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fs_to_cycles = 2.66e-06
