barrier.global_time = 1173292100000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
barrier.global_time_begin = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
barrier.global_time_end = 1173292100000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
branch_predictor.num-correct = 159814668, 958421, 1900372, 953867, 951321, 953978, 953016, 955341, 958090, 952255, 953265, 959647, 952857, 948195, 945800, 954988
branch_predictor.num-incorrect = 14793526, 69662, 138746, 69248, 69599, 69714, 70001, 69878, 70619, 70556, 71366, 70827, 68987, 69264, 69733, 71206
core.instructions = 1282531577, 16360064, 32422879, 16263856, 16224659, 16278243, 16269931, 16310517, 16334058, 16272179, 16251203, 16350035, 16238239, 16171689, 16132825, 16276153
core.spin_elapsed_time = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
core.spin_instructions = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
core.spin_loops = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
corefreq = 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0
directory.entries-allocated = 65536, 65536, 65536, 65536, 65536, 65536, 65536, 65536, 65536, 65536, 65536, 65536, 65536, 65536, 65536, 65536
directory.evict-E = 0, 22, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
directory.evict-M = 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
directory.evict-O = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
