barrier.global_time = 77232900000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
barrier.global_time_begin = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
barrier.global_time_end = 77232900000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
branch_predictor.num-correct = 37318970, 13168791, 11542666, 12572534, 12731296, 11218221, 9023779, 9874197, 10523198, 12462343, 9915425, 11019493, 11629949, 12414312, 10383267, 11509742
branch_predictor.num-incorrect = 1869611, 2095294, 1587193, 1830029, 1853437, 1626957, 1245488, 1407828, 1459390, 1858754, 1414910, 1628468, 1688625, 1865530, 1450614, 1630196
core.instructions = 279382612, 129133150, 108721282, 120209777, 122211753, 105776334, 83656243, 92566138, 99196763, 119141689, 93243816, 105039599, 111516073, 118341895, 97495067, 109157714
core.spin_elapsed_time = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
core.spin_instructions = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
core.spin_loops = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
corefreq = 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0
directory.entries-allocated = 65536, 65536, 65536, 65536, 65536, 65536, 65536, 65536, 65536, 65536, 65536, 65536, 65536, 65536, 65536, 65536
directory.evict-E = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
directory.evict-M = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
directory.evict-O = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
directory.evict-S = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
directory.forward = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
directory.forward-failed = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
dram-queue.num-requests = 79804, 0, 0, 0, 79598, 0, 0, 0, 79619, 0, 0, 0, 79629, 0, 0, 0
dram-queue.num-requests-analytical = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
dram-queue.total-queue-delay = 47595510351106, 0, 0, 0, 47759572338573, 0, 0, 0, 47295767764232, 0, 0, 0, 47564937820154, 0, 0, 0
dram-queue.total-time-used = 672689941904, 0, 0, 0, 670953511048, 0, 0, 0, 671130525844, 0, 0, 0, 671214818604, 0, 0, 0
dram.reads = 70145, 0, 0, 0, 70018, 0, 0, 0, 70032, 0, 0, 0, 70045, 0, 0, 0
dram.total-access-latency = 51859380293010, 0, 0, 0, 52012435849621, 0, 0, 0, 51549753290076, 0, 0, 0, 51819457638758, 0, 0, 0
dram.total-queueing-delay = 47595510351106, 0, 0, 0, 47759572338573, 0, 0, 0, 47295767764232, 0, 0, 0, 47564937820154, 0, 0, 0
dram.writes = 9659, 0, 0, 0, 9580, 0, 0, 0, 9587, 0, 0, 0, 9584, 0, 0, 0
dtlb.access = 105997874, 38218406, 34891718, 37982413, 37716165, 33752668, 28652620, 31359484, 32419225, 37491191, 31517531, 34999520, 36061570, 35931845, 31827352, 35105236
dtlb.miss = 54787, 7593, 11039, 7718, 8155, 13644, 13131, 6184, 8380, 6926, 9629, 12378, 19316, 13943, 7838, 7423
dtlb_cache.access-mru-0 = 101559852, 35297834, 31468181, 35138167, 34208563, 31009656, 26103229, 28987867, 30156535, 34507965, 28518581, 26627164, 32357851, 32619077, 28872449, 32225008
dtlb_cache.access-mru-1 = 4032218, 2724420, 3069363, 2641204, 3241822, 2463935, 2285610, 2208171, 2094002, 2770120, 2729492, 7862561, 3268524, 2880107, 2675598, 2696906
dtlb_cache.access-mru-2 = 318701, 177686, 309031, 179039, 237109, 221990, 222127, 148679, 140603, 193712, 231912, 459476, 367320, 360668, 245615, 168467
dtlb_cache.access-mru-3 = 32316, 10873, 34104, 16285, 20516, 43443, 28523, 8583, 19705, 12468, 27917, 37941, 48559, 58050, 25852, 7432
fastforward_performance_model.fastforwarded_time = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiBase = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiBranchPredictor = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCachecache-remote = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCachedram = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCachedram-cache = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCachedram-local = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCachedram-remote = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCacheL1 = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCacheL1_S = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCacheL1I = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCacheL2 = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCacheL2_S = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCacheL3 = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCacheL3_S = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCacheL4 = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCacheL4_S = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCachemiss = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCachenuca-cache = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCachenuca-local = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCachenuca-remote = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCachepredicate-false = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCacheprefetch-no-mapping = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCacheunknown = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fs_to_cycles = 2.66e-06
fs_to_cycles_cores = 2.66e-06, 2.66e-06, 2.66e-06, 2.66e-06, 2.66e-06, 2.66e-06, 2.66e-06, 2.66e-06, 2.66e-06, 2.66e-06, 2.66e-06, 2.66e-06, 2.66e-06, 2.66e-06, 2.66e-06, 2.66e-06
futex.futex_cmp_requeue_count = 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
futex.futex_cmp_requeue_delay = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
futex.futex_cmp_requeue_pi_count = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
futex.futex_cmp_requeue_pi_delay = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
futex.futex_fd_count = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
futex.futex_fd_delay = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
futex.futex_lock_pi_count = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
futex.futex_lock_pi_delay = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
futex.futex_requeue_count = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
futex.futex_requeue_delay = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
futex.futex_trylock_pi_count = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
futex.futex_trylock_pi_delay = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
futex.futex_unlock_pi_count = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
futex.futex_unlock_pi_delay = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
futex.futex_wait_bitset_count = 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
futex.futex_wait_bitset_delay = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
futex.futex_wait_count = 1, 1, 11, 11, 12, 12, 17, 12, 15, 14, 17, 23, 22, 13, 11, 13, 10
futex.futex_wait_delay = 49941481150860, 8175185314, 9448473011825, 4543236738303, 3666004521626, 9575511822461, 18067695626301, 14479467267290, 12736073084809, 4138041044286, 14162064229744, 9219431802396, 7430513286710, 4439400504548, 13226989282129, 8847612717897, 8016572495309
futex.futex_wait_requeue_pi_count = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
futex.futex_wait_requeue_pi_delay = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
futex.futex_wake_bitset_count = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
futex.futex_wake_bitset_delay = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
futex.futex_wake_count = 2, 4, 13, 14, 14, 16, 21, 21, 27, 18, 19, 27, 28, 14, 13, 17, 12
futex.futex_wake_delay = 0, 4000000000, 11000000000, 10000000000, 5000000000, 11000000000, 13000000000, 15000000000, 17000000000, 7000000000, 13000000000, 11000000000, 13000000000, 11000000000, 11000000000, 11000000000, 10000000000
futex.futex_wake_op_count = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
futex.futex_wake_op_delay = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
global.time = 77232900000000
global.time_begin = 0
global.time_end = 77232900000000
interval_timer.cpContr_branch = 17363297506106, 13043361910596, 10536853418143, 11835518329672, 12060483422804, 10465976486411, 8118776753121, 9021698629904, 9634232720308, 11795840283744, 9050654186135, 10292331721533, 10879792703206, 11904876439563, 9549261351031, 10686754773748
interval_timer.cpContr_fp_addsub = 10912766419402, 13054156764899, 10572376624742, 11681335270737, 12163984972957, 10059176108399, 7850413571659, 8679160013869, 9406752865630, 11583503205903, 8917030085721, 10120850923005, 10862167954683, 11734887028136, 9338303144133, 10539941402401
interval_timer.cpContr_fp_muldiv = 8518437431174, 9825253398478, 8053058747124, 8934587985351, 9139854841310, 7726222105048, 6112588162193, 6804390771453, 7223793205680, 8789269742848, 6905487665899, 7848542411466, 8284441070956, 8854456380176, 7227776027963, 8150124062516
interval_timer.cpContr_generic = 22524371345669, 18417700890640, 14862580012382, 16847220366372, 17277541793163, 14794043322741, 11508612834835, 12826177886642, 13799650469044, 16736713204009, 12881680828006, 14668194766455, 15673128146827, 16801116576815, 13536267026703, 15167297117231
interval_timer.cpContr_load_l1 = 36672996073601, 21477195381538, 18161238961057, 20034486880946, 20446327491662, 18682718237451, 15262050172668, 16720551759538, 17183960891084, 20738042373381, 16653311714492, 18438139057513, 18922829840005, 20604063049342, 16909704250469, 18239776789881
interval_timer.cpContr_load_l2 = 15835685, 2690045842, 4230621859, 2242143099, 3447068762, 5498055306, 4363028440, 1664177318, 2235243700, 9698157951, 9754587846, 8254773831, 3336181890, 717582028, 1704155681, 1346273642
interval_timer.cpContr_load_l3 = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.cpContr_load_other = 0, 0, 0, 0, 39792096, 89043118, 18016636, 0, 167470435, 7151445, 12841991, 34220003, 0, 65646338, 0, 0
interval_timer.cpContr_port0 = 10425973347, 13702273865, 9538521423, 10918667032, 11997107654, 9036979065, 5698973163, 6868004045, 8153910351, 10581851819, 6861549797, 8268203358, 9516902694, 10973497959, 8131091131, 8942772023
interval_timer.cpContr_port015 = 8318995618632, 3120625344647, 2373109952272, 2507291923379, 2635101644006, 2159431104288, 1450512389855, 1638180660175, 1819220261736, 2509817394893, 1699040509706, 1941937687147, 2093933179417, 2718120451823, 1891295237829, 2282524833508
interval_timer.cpContr_port05 = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.cpContr_port1 = 936529413505, 1049798817773, 789672882934, 953040210745, 1067328434347, 737283396153, 426422127065, 497919949118, 758030542518, 829290853480, 495851453632, 557226679649, 848962115520, 918914835443, 659629424730, 812590981165
interval_timer.cpContr_port2 = 16031961946230, 1235639945193, 1645783892179, 1668558387340, 1400502959293, 1495446254718, 1592653230951, 1716987581548, 1563835311730, 1603515727195, 1706234757806, 1837311914750, 1708207234841, 1235845688365, 1563559749557, 1656963120378
interval_timer.cpContr_port34 = 516530570849, 27011660215, 22496859957, 24219661386, 24852785042, 22866724187, 16553085138, 18898392610, 20411429943, 25761460696, 18363581253, 20960305269, 23343410940, 24250440767, 19951515095, 21887693608
interval_timer.cpContr_port5 = 1915673280378, 114264985471, 94234025204, 104930531968, 102311508165, 89287508929, 73431219592, 83040939295, 80449322193, 101605050414, 80805595965, 96480066726, 93221506318, 98375830119, 81602829437, 93414530176
interval_timer.cpContr_store = 4087704244723, 1997219641582, 1705921186668, 1917428817358, 1884319594431, 1760630768496, 1465069060041, 1641260017771, 1669066071152, 1988548916980, 1639547729715, 1855266022015, 1881854175400, 1818074383361, 1612794552133, 1747267398283
interval_timer.cpiBase = 48066390993771, 31346820885348, 25877732869575, 28768999267629, 29406674142270, 25567992216207, 20259415867752, 22428651190833, 23749261740081, 28844329924449, 22582079039574, 25450252256736, 26800005973203, 28845168644358, 23459746980852, 26094871852524
interval_timer.cpiBranchPredictor = 14663451446991, 16954396269444, 12887462227653, 14792593636332, 15022139358159, 13080767429880, 9983257888914, 11261504624130, 11730134768031, 14946669979848, 11307998879955, 13065631749801, 13548322388241, 15047943435180, 11697792359922, 13232578364982
interval_timer.cpiDataCachecache-remote = 239016377115, 231778799487, 185322513501, 178162379307, 206111564262, 249329887641, 214349139630, 231747220611, 203735629782, 548056280187, 511083807354, 618291835740, 540532612980, 141382387242, 228461137812, 244954333620
interval_timer.cpiDataCachedram = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.cpiDataCachedram-cache = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.cpiDataCachedram-local = 294336176904, 0, 0, 0, 74059983, 0, 0, 0, 0, 0, 0, 0, 234209997, 0, 0, 0
interval_timer.cpiDataCachedram-remote = 980925226713, 613532448, 1433831346, 0, 797366619, 8414642637, 160150014, 70300593, 0, 28298432286, 72932166, 378194634, 0, 5609761758, 0, 86841909
interval_timer.cpiDataCacheL1 = 396239706, 0, 323307540, 0, 0, 473683140, 843607116, 0, 127819260, 0, 131578650, 0, 1488718440, 402254730, 0, 0
interval_timer.cpiDataCacheL1_S = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.cpiDataCacheL1I = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.cpiDataCacheL2 = 25830016812, 29281888710, 35877738465, 32932256400, 41346523098, 49757030406, 49894248141, 57509644464, 57864906819, 109473812739, 103527961515, 132095942064, 115348987431, 22246566264, 38239011324, 40641261534
interval_timer.cpiDataCacheL2_S = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.cpiDataCacheL3 = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.cpiDataCacheL3_S = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.cpiDataCacheL4 = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.cpiDataCacheL4_S = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.cpiDataCachemiss = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.cpiDataCachenuca-cache = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.cpiDataCachenuca-local = 288572656095, 90209570562, 114062900112, 99258422292, 88423108434, 85428754299, 126221895189, 110397118923, 95123469231, 89338143960, 76523887206, 75321634284, 80895681837, 76397947641, 74081411523, 76716367974
interval_timer.cpiDataCachenuca-remote = 3879560781045, 1179844326027, 1266861798540, 1406677647969, 1292549334471, 1198611576846, 1107306144099, 1259988505803, 1251496419732, 1121662126692, 1088545660182, 1249684769691, 1297923758415, 1185602583690, 1119803108337, 1287478669239
interval_timer.cpiDataCachepredicate-false = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.cpiDataCacheprefetch-no-mapping = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.cpiDataCacheunknown = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.cpiInstructionCachecache-remote = 54887094, 345112002, 444735837, 270300141, 484961310, 883456650, 560149110, 1241350578, 630449703, 128947077, 240600960, 158270319, 23684157, 671802993, 562404744, 155638746
interval_timer.cpiInstructionCachedram = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.cpiInstructionCachedram-cache = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.cpiInstructionCachedram-local = 9453738033, 0, 0, 0, 24854831046, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.cpiInstructionCachedram-remote = 33408195174, 870674724, 2357889408, 78947190, 74337050043, 24801823647, 25119868041, 0, 3262398642, 0, 0, 405638181, 0, 72932166000, 0, 0
interval_timer.cpiInstructionCacheL1 = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.cpiInstructionCacheL1_S = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.cpiInstructionCacheL1I = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.cpiInstructionCacheL2 = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.cpiInstructionCacheL2_S = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.cpiInstructionCacheL3 = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.cpiInstructionCacheL3_S = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.cpiInstructionCacheL4 = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.cpiInstructionCacheL4_S = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.cpiInstructionCachemiss = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.cpiInstructionCachenuca-cache = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.cpiInstructionCachenuca-local = 28570988061, 7695471330, 15369514137, 8318026314, 7740959949, 4784575653, 6969909060, 8321033826, 10175916852, 10338698439, 7684945038, 5266529451, 6815398131, 8361635238, 5052996099, 4147734987
interval_timer.cpiInstructionCachenuca-remote = 550733341806, 94482869175, 100758418902, 106852390092, 110858020137, 89225738199, 91823476689, 92347159716, 91246034385, 103075330959, 92720091204, 117253870344, 109975315365, 87692283018, 82549813437, 103872697578
interval_timer.cpiInstructionCachepredicate-false = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.cpiInstructionCacheprefetch-no-mapping = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.cpiInstructionCacheunknown = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.cpiLongLatency = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.cpiSerialization = 125563626, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.detailed-cpiBase-BranchMispredict = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.detailed-cpiBase-DispatchRate = 107918469, 81185177, 67011211, 74550631, 76188310, 66299938, 52636287, 58240228, 61594596, 74777624, 58654137, 66102703, 69518075, 74796977, 60914020, 67637486
interval_timer.detailed-cpiBase-DispatchRate+BranchMispredict = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.detailed-cpiBase-DispatchRate+ICacheMiss = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.detailed-cpiBase-DispatchRate+ICacheMiss+BranchMispredict = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
