barrier.global_time = 1806249800000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
barrier.global_time_begin = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
barrier.global_time_end = 1806249800000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
branch_predictor.num-correct = 667749, 1395016128, 1398021119, 1399983157, 1501656962, 1398803272, 1401365689, 1397931812, 1396970124, 1399035258, 1399528671, 1404840277, 1395611280, 1398945381, 1397002493, 1392845700
branch_predictor.num-incorrect = 13929, 159562, 157013, 162171, 216146, 156680, 153331, 149207, 154976, 155819, 156547, 154435, 158736, 158072, 154603, 157338
core.instructions = 12353754, 6339655621, 6350446163, 6359233905, 6868077427, 6353746490, 6365250913, 6350313989, 6345484054, 6354787357, 6357010348, 6380818459, 6339444131, 6354617207, 6345695380, 6326938635
core.spin_elapsed_time = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
core.spin_instructions = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
core.spin_loops = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
corefreq = 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0
directory.entries-allocated = 17056, 16592, 16576, 16608, 16864, 17120, 17376, 17424, 16928, 17088, 17136, 17008, 17648, 17328, 17088, 16944
directory.evict-E = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
directory.evict-M = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
directory.evict-O = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
directory.evict-S = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
directory.forward = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
directory.forward-failed = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
dram-queue.num-requests = 4953, 0, 0, 0, 4918, 0, 0, 0, 4921, 0, 0, 0, 4917, 0, 0, 0
dram-queue.num-requests-analytical = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
dram-queue.total-queue-delay = 29640893217, 0, 0, 0, 78060269686, 0, 0, 0, 79114566625, 0, 0, 0, 79356819415, 0, 0, 0
dram-queue.total-time-used = 41750204028, 0, 0, 0, 41455179368, 0, 0, 0, 41480467196, 0, 0, 0, 41446750092, 0, 0, 0
dram.reads = 4953, 0, 0, 0, 4918, 0, 0, 0, 4921, 0, 0, 0, 4917, 0, 0, 0
dram.total-access-latency = 294276097245, 0, 0, 0, 340825449054, 0, 0, 0, 342040033821, 0, 0, 0, 342068569507, 0, 0, 0
dram.total-queueing-delay = 29640893217, 0, 0, 0, 78060269686, 0, 0, 0, 79114566625, 0, 0, 0, 79356819415, 0, 0, 0
dram.writes = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
dtlb.access = 5057253, 2814063362, 2818870766, 2822766621, 3045238610, 2820335465, 2825449928, 2818824573, 2816671618, 2820800585, 2821785420, 2832367209, 2813974763, 2820726347, 2816761286, 2808421757
dtlb.miss = 4672, 228875, 213817, 218014, 425549, 214095, 211110, 201297, 226210, 213178, 219272, 232757, 207405, 218288, 199627, 201810
dtlb_cache.access-mru-0 = 4790365, 2812014682, 2816869180, 2820554231, 3041263980, 2817546148, 2823112270, 2816629822, 2814129472, 2817474124, 2819808783, 2830167812, 2812004212, 2817975198, 1424119001, 2805819996
dtlb_cache.access-mru-1 = 236977, 1704997, 1676955, 1864510, 3306686, 2366037, 1958370, 1873929, 2208439, 2918292, 1639724, 1850617, 1635194, 2409945, 1392327949, 2287156
dtlb_cache.access-mru-2 = 20675, 75304, 67372, 83276, 147722, 155026, 117205, 81440, 68428, 154250, 79587, 85750, 79788, 75952, 71162, 65503
dtlb_cache.access-mru-3 = 4564, 39504, 43442, 46590, 94673, 54159, 50973, 38085, 39069, 40741, 38054, 30273, 48164, 46964, 43547, 47292
fastforward_performance_model.fastforwarded_time = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
