barrier.global_time = 72110800000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
barrier.global_time_begin = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
barrier.global_time_end = 72110800000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
branch_predictor.num-correct = 6639877, 24834244, 24389714, 24461340, 23255370, 25275542, 25157150, 24896270, 24269451, 25015311, 25403263, 24368964, 24231394, 24625309, 24338458, 24455381
branch_predictor.num-incorrect = 76869, 28096, 24665, 25224, 24462, 28670, 27398, 25804, 24368, 26382, 26279, 26586, 22830, 25913, 25769, 25623
core.instructions = 81025921, 256164347, 251556315, 252977131, 240914728, 260904926, 260701919, 257743112, 251092361, 259067359, 262709709, 251384632, 250935698, 254027432, 251365998, 252748268
core.spin_elapsed_time = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
core.spin_instructions = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
core.spin_loops = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
corefreq = 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0
directory.entries-allocated = 63408, 63408, 63440, 64112, 63440, 63472, 63456, 64128, 63280, 63344, 63328, 64144, 63408, 63376, 63376, 64080
directory.evict-E = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
directory.evict-M = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
directory.evict-O = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
directory.evict-S = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
directory.forward = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
directory.forward-failed = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
dram-queue.num-requests = 1079355, 0, 0, 0, 1079630, 0, 0, 0, 1066516, 0, 0, 0, 1076267, 0, 0, 0
dram-queue.num-requests-analytical = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
dram-queue.total-queue-delay = 2482874382574, 0, 0, 0, 2272780769148, 0, 0, 0, 2242701347875, 0, 0, 0, 2297305238510, 0, 0, 0
dram-queue.total-time-used = 9098181196980, 0, 0, 0, 9100499247880, 0, 0, 0, 8989957722416, 0, 0, 0, 9072151592692, 0, 0, 0
dram.reads = 591047, 0, 0, 0, 592050, 0, 0, 0, 584944, 0, 0, 0, 590236, 0, 0, 0
dram.total-access-latency = 60152030579554, 0, 0, 0, 59956630017028, 0, 0, 0, 59225879070291, 0, 0, 0, 59801471831202, 0, 0, 0
dram.total-queueing-delay = 2482874382574, 0, 0, 0, 2272780769148, 0, 0, 0, 2242701347875, 0, 0, 0, 2297305238510, 0, 0, 0
dram.writes = 488308, 0, 0, 0, 487580, 0, 0, 0, 481572, 0, 0, 0, 486031, 0, 0, 0
dtlb.access = 28682443, 71097805, 69786256, 70041690, 66586654, 72343484, 72051207, 71271936, 69477572, 71638365, 72739715, 69734475, 69357041, 70481223, 69660149, 70033259
dtlb.miss = 854282, 47936, 44386, 41665, 44158, 44345, 43369, 45656, 48118, 38495, 53119, 48363, 45912, 46973, 41634, 39814
dtlb_cache.access-mru-0 = 26333597, 66118152, 65985031, 66014727, 61879510, 67282270, 67631405, 66431726, 65302324, 66572863, 67841226, 65185569, 65347440, 66287065, 63536134, 64780123
dtlb_cache.access-mru-1 = 1364875, 4188270, 3201614, 3438610, 4100336, 4282879, 3712134, 4201828, 3504295, 4362040, 4236949, 3887882, 3417623, 3577463, 5099433, 4521159
dtlb_cache.access-mru-2 = 42004, 640821, 452904, 456115, 463585, 616010, 553785, 492698, 524983, 563666, 499794, 513307, 448156, 472656, 843369, 592998
dtlb_cache.access-mru-3 = 87685, 102626, 102321, 90573, 99065, 117980, 110514, 100028, 97852, 101301, 108627, 99354, 97910, 97066, 139579, 99165
fastforward_performance_model.fastforwarded_time = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiBase = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiBranchPredictor = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCachecache-remote = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCachedram = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCachedram-cache = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCachedram-local = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCachedram-remote = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCacheL1 = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCacheL1_S = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCacheL1I = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCacheL2 = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCacheL2_S = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCacheL3 = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCacheL3_S = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fastforward_timer.cpiDataCacheL4 = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
