barrier.global_time = 74988400000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
barrier.global_time_begin = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
barrier.global_time_end = 74988400000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
branch_predictor.num-correct = 6640037, 24510551, 24681514, 24580597, 24219881, 25465280, 25170748, 24353747, 24315853, 25144170, 24670134, 24873105, 24207967, 24206041, 24312817, 24253790
branch_predictor.num-incorrect = 76612, 27430, 27547, 25899, 25911, 27916, 26727, 25440, 25502, 27093, 25236, 27725, 24397, 27790, 26056, 25493
core.instructions = 81025429, 253545350, 255025172, 254349145, 250429047, 263379336, 260846709, 251612922, 251240071, 260583589, 254101678, 256615802, 250327578, 250303769, 251452049, 250466552
core.spin_elapsed_time = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
core.spin_instructions = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
core.spin_loops = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
corefreq = 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0, 2660000000.0
directory.entries-allocated = 64032, 64032, 63984, 64480, 64048, 64032, 64032, 64560, 64000, 63984, 64000, 64560, 64032, 64016, 64032, 64512
directory.evict-E = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
directory.evict-M = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
directory.evict-O = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
directory.evict-S = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
directory.forward = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
directory.forward-failed = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
dram-queue.num-requests = 1182913, 0, 0, 0, 1180159, 0, 0, 0, 1170735, 0, 0, 0, 1178703, 0, 0, 0
dram-queue.num-requests-analytical = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
dram-queue.total-queue-delay = 2568084227451, 0, 0, 0, 2328489585258, 0, 0, 0, 2290678055176, 0, 0, 0, 2348677074828, 0, 0, 0
dram-queue.total-time-used = 9971100160988, 0, 0, 0, 9947885934884, 0, 0, 0, 9868448437860, 0, 0, 0, 9935612909028, 0, 0, 0
dram.reads = 642518, 0, 0, 0, 641999, 0, 0, 0, 636901, 0, 0, 0, 641228, 0, 0, 0
